count,can_double,can_split,hand,dealer_upcard,recommendation,state_visits,q_hit,visits_hit,q_stand,visits_stand,q_double,visits_double,q_split,visits_split
<1,True,False,five three,3,S,18219,-8.581447963800903,442,-0.2535161118034539,16851,-0.376321353065539,473,-100.0,453
<1,True,False,five three,4,D,17666,-6.323275862068963,464,-0.22369878183831668,2709,-0.11996590666950809,14079,-100.0,414
<1,True,False,five three,5,D,17563,-5.74370709382151,437,-0.20421052631578931,475,0.022992768403486005,16179,-100.0,472
<1,True,False,five three,6,D,18845,-6.366459627329192,483,-0.2845360824742268,485,0.07613805756220629,17442,-100.0,435
<1,True,False,five three,7,D,19974,-5.006122448979597,490,-0.458167330677291,502,-0.29881768611996096,18523,-100.0,459
<1,True,False,five three,8,D,20484,-5.828621908127211,566,-0.4886535552193651,1322,-0.4787919165001098,18012,-100.0,584
<1,True,False,five three,9,S,19985,-4.392712550607288,494,-0.5242966751918186,18377,-0.7952000000000002,625,-100.0,489
<1,True,False,five three,10,S,80082,-4.938393297190743,2029,-0.5433754691162387,73809,-0.7474747474747488,2277,-100.0,1967
<1,True,False,five three,1,S,15822,-6.655405405405409,444,-0.6786946139559574,11307,-0.769166897315252,3613,-100.0,458
<1,True,False,four four,2,?,0,,0,,0,,0,,0
<1,True,False,four four,3,?,0,,0,,0,,0,,0
<1,True,False,four four,4,?,0,,0,,0,,0,,0
<1,True,False,four four,5,?,0,,0,,0,,0,,0
<1,True,False,four four,6,?,0,,0,,0,,0,,0
<1,True,False,four four,7,?,0,,0,,0,,0,,0
<1,True,False,four four,8,?,0,,0,,0,,0,,0
<1,True,False,four four,9,?,0,,0,,0,,0,,0
<1,True,False,four four,10,?,0,,0,,0,,0,,0
<1,True,False,four four,1,?,0,,0,,0,,0,,0
<1,True,False,9,2,D,55315,-5.405503258508327,1381,-0.28730512249443213,1347,-0.008549177288076122,51233,-100.0,1354
<1,True,False,9,3,D,55572,-4.932671863926287,1411,-0.2604220277920741,1943,0.08329884717706194,50745,-100.0,1473
<1,True,False,9,4,D,55809,-6.109203296703292,1456,-0.2885154061624648,1428,0.08887638050503738,51521,-100.0,1404
<1,True,False,9,5,D,54715,-4.878209831254585,1363,-0.2616299405386498,2859,0.14420394616277463,49111,-100.0,1382
<1,True,False,9,6,D,55761,-3.8563049853372453,1364,-0.21638655462184841,1428,0.2950562233423799,51580,-100.0,1389
<1,True,False,9,7,D,60966,-5.298013245033112,1510,-0.4553191489361694,1410,0.0279932844393392,56585,-100.0,1461
<1,True,False,9,8,D,61844,-4.866536458333338,1536,-0.5060164661177959,1579,-0.031091248712532434,57283,-100.0,1446
<1,True,False,9,9,D,62929,-5.721609344581443,1541,-0.5267008046817861,4101,-0.291423753744593,55747,-100.0,1540
<1,True,False,9,10,D,253752,-5.579659949622163,6352,-0.5562002428822007,7411,-0.4692450852461131,233735,-100.0,6254
<1,True,False,9,1,D,48518,-6.115200000000006,1250,-0.7105045492142278,1209,-0.5378563309336473,44867,-100.0,1192
<1,True,False,10,2,D,56887,-4.493810178817051,1454,-0.31156848828956696,1409,0.2821497120921288,52621,-100.0,1403
<1,True,False,10,3,D,56120,-5.718461538461538,1300,-0.30498533724340227,1364,0.3225973926085483,52006,-100.0,1450
<1,True,False,10,4,D,57397,-5.215801024140455,1367,-0.2899328859060406,1490,0.3858297312535231,53210,-100.0,1330
<1,True,False,10,5,D,60032,-5.808120497707928,1527,-0.21259309410968213,1477,0.4257937795076936,55494,-100.0,1534
<1,True,False,10,6,D,57448,-4.821331521739141,1472,-0.18736988202637056,1441,0.4746273151633791,53128,-100.0,1407
<1,True,False,10,7,D,63941,-4.562539682539686,1575,-0.48736037624926476,1701,0.3173356799566757,59092,-100.0,1573
<1,True,False,10,8,D,63386,-5.288599348534207,1535,-0.5263496143958863,1556,0.24617507752069903,58694,-100.0,1601
<1,True,False,10,9,D,62611,-6.231343283582088,1608,-0.5650534255185419,1591,0.05793716697806343,57804,-100.0,1608
<1,True,False,10,10,D,263635,-4.886313948404003,6861,-0.5509817197021012,7385,-0.034234160006592365,242740,-100.0,6649
