hand_value,is_soft,dealer_upcard,can_double,action,estimated_value,visits
13,True,3,True,DOUBLE,0.106007,283
13,True,4,False,HIT,-0.142857,21
13,True,4,False,STAND,-0.142857,14
13,True,4,True,HIT,-0.009375,320
13,True,4,True,STAND,-0.200000,40
13,True,4,True,DOUBLE,-0.000000,95
13,True,5,False,HIT,0.187500,16
13,True,5,False,STAND,-0.600000,5
13,True,5,True,HIT,0.061697,389
13,True,5,True,STAND,-0.437500,32
13,True,5,True,DOUBLE,-0.062500,32
13,True,6,False,HIT,-0.062500,16
13,True,6,False,STAND,-0.200000,15
13,True,6,True,HIT,-0.107143,28
13,True,6,True,STAND,-0.218391,87
13,True,6,True,DOUBLE,0.087464,343
13,True,7,False,HIT,0.025641,39
13,True,7,False,STAND,-0.428571,7
13,True,7,True,HIT,-0.042424,330
13,True,7,True,STAND,-0.652174,23
13,True,7,True,DOUBLE,-0.233333,60
13,True,8,False,HIT,0.240000,25
13,True,8,False,STAND,-0.500000,4
13,True,8,True,HIT,-0.188776,392
13,True,8,True,STAND,-0.448276,29
13,True,8,True,DOUBLE,-0.750000,40
13,True,9,False,HIT,-0.777778,18
13,True,9,False,STAND,-0.375000,16
13,True,9,True,HIT,-0.223097,381
13,True,9,True,STAND,-0.515152,33
13,True,9,True,DOUBLE,-1.058824,17
13,True,10,False,HIT,-0.358025,81
13,True,10,False,STAND,-0.461538,26
13,True,10,True,HIT,-0.356207,1603
13,True,10,True,STAND,-0.588785,107
13,True,10,True,DOUBLE,-0.771930,114
14,False,1,False,HIT,-0.633495,2472
14,False,1,False,STAND,-0.784314,306
14,False,1,True,HIT,-0.653553,2491
14,False,1,True,STAND,-0.683761,234
14,False,1,True,DOUBLE,-1.118280,186
14,False,2,False,HIT,-0.340000,250
14,False,2,False,STAND,-0.309061,2472
14,False,2,True,HIT,-0.260215,465
14,False,2,True,STAND,-0.296771,2261
14,False,2,True,DOUBLE,-0.780488,205
14,False,3,False,HIT,-0.303297,455
14,False,3,False,STAND,-0.286278,2281
14,False,3,True,HIT,-0.347222,216
14,False,3,True,STAND,-0.253754,2597
14,False,3,True,DOUBLE,-0.694064,219
14,False,4,False,HIT,-0.393281,506
14,False,4,False,STAND,-0.222468,2261
14,False,4,True,HIT,-0.240000,225
14,False,4,True,STAND,-0.203953,2530
14,False,4,True,DOUBLE,-0.812500,192
14,False,5,False,HIT,-0.364516,310
14,False,5,False,STAND,-0.205753,2503
14,False,5,True,HIT,-0.383673,245
14,False,5,True,STAND,-0.160806,2531
14,False,5,True,DOUBLE,-0.886598,194
14,False,6,False,HIT,-0.375000,264
14,False,6,False,STAND,-0.132559,2497
14,False,6,True,HIT,-0.427928,222
14,False,6,True,STAND,-0.192835,2624
14,False,6,True,DOUBLE,-0.708333,192
